72,22:52:38.199,out,Controller Data Entry (coarse): 125,4,125,B3 06 7D 
73,22:52:38.201,out,Controller Data Entry (coarse): 124,4,124,B3 06 7C 
74,22:52:38.204,out,Controller Data Entry (coarse): 125,4,125,B3 06 7D 
75,22:52:38.207,out,Controller Data Entry (coarse): 125,4,125,B3 06 7D 
76,22:52:38.210,out,Controller Data Entry (coarse): 125,4,125,B3 06 7D 
77,22:52:38.213,out,Controller Data Entry (coarse): 125,4,125,B3 06 7D 
78,22:52:38.216,out,Controller Data Entry (coarse): 125,4,125,B3 06 7D 
79,22:52:38.221,out,Controller Data Entry (coarse): 125,4,125,B3 06 7D 
80,22:52:38.223,out,Controller Data Entry (coarse): 125,4,125,B3 06 7D 
81,22:52:38.225,out,Controller Data Entry (coarse): 125,4,125,B3 06 7D 
82,22:52:38.228,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
83,22:52:38.233,out,Controller Data Entry (coarse): 125,4,125,B3 06 7D 
84,22:52:38.235,out,Controller Data Entry (coarse): 125,4,125,B3 06 7D 
85,22:52:38.238,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
86,22:52:38.241,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
87,22:52:38.244,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
88,22:52:38.247,out,Controller Data Entry (coarse): 125,4,125,B3 06 7D 
89,22:52:38.250,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
90,22:52:38.253,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
91,22:52:38.256,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
92,22:52:38.259,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
93,22:52:38.262,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
94,22:52:38.265,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
95,22:52:38.268,out,Controller Data Entry (coarse): 127,4,127,B3 06 7F 
96,22:52:38.271,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
97,22:52:38.274,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
98,22:52:38.278,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
99,22:52:38.281,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
100,22:52:38.284,out,Controller Data Entry (coarse): 127,4,127,B3 06 7F 
101,22:52:38.287,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
102,22:52:38.290,out,Controller Data Entry (coarse): 127,4,127,B3 06 7F 
103,22:52:38.293,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
104,22:52:38.296,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
105,22:52:38.299,out,Controller Data Entry (coarse): 127,4,127,B3 06 7F 
106,22:52:38.302,out,Controller Data Entry (coarse): 127,4,127,B3 06 7F 
107,22:52:38.303,out,Note off F#-2 Velocity 0,4,0,93 06 00 
108,22:52:38.305,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
109,22:52:38.308,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
110,22:52:38.311,out,Controller Data Entry (coarse): 127,4,127,B3 06 7F 
111,22:52:38.314,out,Controller Data Entry (coarse): 127,4,127,B3 06 7F 
112,22:52:38.317,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
113,22:52:38.321,out,Controller Data Entry (coarse): 127,4,127,B3 06 7F 
114,22:52:38.324,out,Controller Data Entry (coarse): 127,4,127,B3 06 7F 
115,22:52:38.327,out,Controller Data Entry (coarse): 127,4,127,B3 06 7F 
116,22:52:38.330,out,Controller Data Entry (coarse): 127,4,127,B3 06 7F 
117,22:52:38.333,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
118,22:52:38.336,out,Controller Data Entry (coarse): 127,4,127,B3 06 7F 
119,22:52:38.339,out,Controller Data Entry (coarse): 127,4,127,B3 06 7F 
120,22:52:38.342,out,Controller Data Entry (coarse): 127,4,127,B3 06 7F 
121,22:52:38.345,out,Controller Data Entry (coarse): 127,4,127,B3 06 7F 
122,22:52:38.348,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
123,22:52:38.354,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
124,22:52:38.360,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
125,22:52:38.367,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
126,22:52:38.373,out,Controller Data Entry (coarse): 126,4,126,B3 06 7E 
127,22:52:38.379,out,Controller Data Entry (coarse): 127,4,127,B3 06 7F 
128,22:52:38.382,out,Controller Data Entry (coarse): 127,4,127,B3 06 7F 
129,22:52:38.385,out,Controller Data Entry (coarse): 127,4,127,B3 06 7F 
